POLARIS_REF,GW_REF,ENTITY,RECON_STATUS,DELTA_PENCE,NOTES
P24940398461C,PTY644013416,PolicyPeriod,MATCHED,0,
P95514455188A,PTY868778667,ABContact,MATCHED,0,
P93693746458B,CLM487193000,PolicyPeriod,MATCHED,0,
P86130990685X,PTY811851809,Claim,MATCHED,0,
P82066771435C,PTY894051811,ABContact,MATCHED,0,wave rolled back and re-run
P27774600261C,PTY889182600,ABContact,MATCHED,0,wave rolled back and re-run
P81824276023X,CLM265278712,Invoice,WRITTEN_OFF,-5167,
P36514232454X,PTY419467633,ABContact,ORPHAN,-2819,
P93647080729A,PTY542963791,Invoice,MATCHED,0,manual journal posted
P89110108608A,PTY798887828,Invoice,MATCHED,0,see PRB-46429
P32617385654X,POL181905413,Invoice,MATCHED,0,manual journal posted
P53942242974X,CLM205084574,ABContact,DUPE,-7336,manual journal posted
P44625335255C,PTY393773212,ABContact,MATCHED,0,wave rolled back and re-run
P34694041281B,CLM294364469,PolicyPeriod,MATCHED,0,see AGI-9340
P59070537039X,CLM342883498,Claim,MATCHED,0,manual journal posted
P96768852688C,PTY618304489,Claim,MATCHED,0,wave rolled back and re-run
P68489128403C,CLM597612029,Claim,MATCHED,0,wave rolled back and re-run
P47642668210B,PTY119670675,Claim,MATCHED,0,see CHG-5510
P42424879047B,POL108745423,Invoice,ORPHAN,-1381,
P34488437841B,POL928090474,PolicyPeriod,FIXED_BY_SQL,5882,wave rolled back and re-run
P12531256036X,CLM729459843,ABContact,MATCHED,0,see CM-27994
P72056144963B,POL432903835,ABContact,MATCHED,0,pence variance accepted per finance memo
P33871943970A,PTY664191652,Claim,MATCHED,0,wave rolled back and re-run
P34987429791X,POL177172999,ABContact,FIXED_BY_SQL,-2553,pence variance accepted per finance memo
P10644556831X,POL352573101,Invoice,MATCHED,0,pence variance accepted per finance memo
P87575434414A,PTY480809468,PolicyPeriod,ORPHAN,5303,pence variance accepted per finance memo
P38444147200A,CLM660632704,PolicyPeriod,ORPHAN,-3863,
P47362928332A,PTY210768449,ABContact,MATCHED,0,see GWPC-20420
P65945766926C,CLM460087202,Invoice,MATCHED,0,manual journal posted
P68333008008A,CLM970787817,PolicyPeriod,MATCHED,0,see CHG-20184
P98564504282X,PTY196573589,ABContact,ORPHAN,5552,wave rolled back and re-run
P21343402161X,POL679958267,PolicyPeriod,MATCHED,0,see GWPC-42864
P59747667025X,PTY651076322,PolicyPeriod,ORPHAN,8603,manual journal posted
P54638992984A,CLM958762000,Invoice,MATCHED,0,wave rolled back and re-run
P98572233790C,CLM410984139,Claim,MATCHED,0,wave rolled back and re-run
P20065703386B,CLM342574862,Invoice,DUPE,2957,see HERIT-40746
P56590549922X,PTY619930373,Invoice,DUPE,-4095,wave rolled back and re-run
P11718121563B,POL889095215,Invoice,ORPHAN,671,manual journal posted
P56491760899X,CLM475166244,Claim,DUPE,-548,manual journal posted
P23649945515B,POL247283354,ABContact,ORPHAN,460,
P17381258664C,PTY717896260,ABContact,MATCHED,0,see DEF-18270
P22524811279B,POL857764921,Claim,WRITTEN_OFF,9591,wave rolled back and re-run
P44915226033C,CLM120375604,Invoice,MATCHED,0,
P40694978035B,POL660532030,Invoice,MATCHED,0,wave rolled back and re-run
P39251035647X,CLM819866169,Invoice,MATCHED,0,pence variance accepted per finance memo
P64754492449C,POL475735582,PolicyPeriod,WRITTEN_OFF,4618,manual journal posted
P26175340508C,POL436891277,Invoice,MATCHED,0,wave rolled back and re-run
P86393593596X,POL118431194,PolicyPeriod,FIXED_BY_SQL,4771,
P30526493725A,CLM589564530,Claim,MATCHED,0,see AGI-34270
P88786352627A,POL297513930,PolicyPeriod,MATCHED,0,pence variance accepted per finance memo
P78156361558A,POL750010215,Invoice,MATCHED,0,pence variance accepted per finance memo
