POLARIS_REF,GW_REF,ENTITY,RECON_STATUS,DELTA_PENCE,NOTES
P63393482135A,POL356201123,PolicyPeriod,MATCHED,0,wave rolled back and re-run
P41494091260B,PTY116563163,ABContact,MATCHED,0,pence variance accepted per finance memo
P93498226273X,CLM778903012,PolicyPeriod,ORPHAN,-9812,see AGI-13934
P57471931067C,POL551842966,PolicyPeriod,DUPE,-5327,wave rolled back and re-run
P24157075532C,POL824937263,Claim,MATCHED,0,see INC-43686
P27995668916C,CLM302878151,Claim,MATCHED,0,see GWPC-24065
P38478052887X,POL800689184,Invoice,MATCHED,0,manual journal posted
P53213505109B,POL236949958,ABContact,MATCHED,0,
P44757613047B,PTY898169231,Claim,MATCHED,0,see REG-23681
P72350127941B,POL583196805,PolicyPeriod,MATCHED,0,manual journal posted
P75697762892C,PTY187371280,ABContact,MATCHED,0,manual journal posted
P37976574562B,POL909330815,PolicyPeriod,FIXED_BY_SQL,-532,wave rolled back and re-run
P99956507767A,POL652524932,Claim,MATCHED,0,see CHG-15933
P26284727137A,POL151036049,Claim,WRITTEN_OFF,-7064,
P23116616494B,POL166729291,ABContact,MATCHED,0,
P68981266093B,POL783446907,PolicyPeriod,MATCHED,0,pence variance accepted per finance memo
P98521656297X,CLM883011531,Invoice,MATCHED,0,pence variance accepted per finance memo
P11259385952C,PTY228674245,Invoice,MATCHED,0,see GWBC-40067
P21512844666C,CLM520744923,Claim,MATCHED,0,see CM-48314
P67557567083A,CLM506249258,ABContact,MATCHED,0,
P73316707496A,POL169987145,Claim,FIXED_BY_SQL,-8410,wave rolled back and re-run
P26552571726C,CLM270969732,Claim,MATCHED,0,manual journal posted
P39394717313C,PTY337575887,PolicyPeriod,MATCHED,0,wave rolled back and re-run
P26018000962C,PTY435463174,Invoice,DUPE,-4465,manual journal posted
P47020683619X,CLM341116346,PolicyPeriod,MATCHED,0,see GWBC-15626
P60465889143X,PTY970098976,Invoice,WRITTEN_OFF,-3828,wave rolled back and re-run
P52888895921A,PTY755805091,Claim,MATCHED,0,manual journal posted
P44063049194X,POL687113261,Invoice,MATCHED,0,pence variance accepted per finance memo
P60069449766X,CLM970745254,Claim,MATCHED,0,wave rolled back and re-run
P86240315533C,CLM445397147,Invoice,ORPHAN,3728,see PRB-30473
P96716715239C,PTY687839513,PolicyPeriod,FIXED_BY_SQL,3408,pence variance accepted per finance memo
P30334769807C,PTY231470953,Claim,DUPE,-2919,wave rolled back and re-run
P61674806885X,POL200631895,PolicyPeriod,MATCHED,0,see GWCC-34451
P33544699620C,PTY750639167,PolicyPeriod,MATCHED,0,wave rolled back and re-run
P20537579020C,POL378501024,PolicyPeriod,MATCHED,0,
P18347275191B,POL707112726,Claim,MATCHED,0,wave rolled back and re-run
P67017049493B,PTY567192481,Invoice,MATCHED,0,
P88850369503A,PTY555180684,Invoice,MATCHED,0,pence variance accepted per finance memo
P42250292709X,POL141246933,Claim,ORPHAN,-5698,wave rolled back and re-run
P39954975635C,CLM776500868,Invoice,MATCHED,0,manual journal posted
P30828233000X,CLM221479482,ABContact,MATCHED,0,pence variance accepted per finance memo
P85437814533C,CLM155180711,PolicyPeriod,MATCHED,0,wave rolled back and re-run
P26689198830X,PTY921049092,Invoice,ORPHAN,6355,wave rolled back and re-run
P82192268332X,CLM530775426,Invoice,MATCHED,0,pence variance accepted per finance memo
P24257345620B,CLM464285878,PolicyPeriod,MATCHED,0,wave rolled back and re-run
P92371217862A,PTY991229292,Claim,MATCHED,0,manual journal posted
P63860647710A,POL528616262,Invoice,MATCHED,0,
P85444486911B,POL399072766,PolicyPeriod,DUPE,-4293,see PRB-39280
P44347904820A,CLM784425547,PolicyPeriod,DUPE,-9744,wave rolled back and re-run
P67631426583X,PTY491941040,Claim,WRITTEN_OFF,-1884,see PRB-28554
P91029330959X,PTY780233802,Claim,FIXED_BY_SQL,-6397,wave rolled back and re-run
P87321302256C,POL970409119,Invoice,ORPHAN,-3658,wave rolled back and re-run
P39441607585C,PTY432010189,PolicyPeriod,MATCHED,0,pence variance accepted per finance memo
P79238331457X,PTY833831990,ABContact,ORPHAN,-6074,see GWCC-8286
P79357385344A,CLM610904657,Claim,MATCHED,0,pence variance accepted per finance memo
P27648067721X,POL338758980,PolicyPeriod,MATCHED,0,see REG-25933
P80260297779X,CLM350946068,ABContact,MATCHED,0,
P64273769149B,POL743141046,Claim,MATCHED,0,
P73088965485B,PTY796257923,Invoice,MATCHED,0,pence variance accepted per finance memo
P41096600496B,PTY953926834,Claim,FIXED_BY_SQL,-547,wave rolled back and re-run
P75341613073A,CLM306716211,Invoice,ORPHAN,2473,manual journal posted
P84876941364X,CLM126023471,Invoice,WRITTEN_OFF,-6378,see HERIT-6316
P45893096509X,CLM960702814,Claim,MATCHED,0,
P36379308553X,POL778446771,Invoice,FIXED_BY_SQL,-4615,
P95726580132C,POL472101044,PolicyPeriod,MATCHED,0,see GWPC-7384
P66815673376A,POL623062494,PolicyPeriod,MATCHED,0,pence variance accepted per finance memo
P58389291956B,POL570669563,PolicyPeriod,MATCHED,0,
P90653479004B,POL648511470,Invoice,MATCHED,0,manual journal posted
P67571105488B,POL824234651,ABContact,MATCHED,0,manual journal posted
P44023007586X,CLM784248991,Claim,MATCHED,0,pence variance accepted per finance memo
P51443099025B,CLM239874386,Claim,MATCHED,0,
P84883974477A,POL877592448,Claim,MATCHED,0,wave rolled back and re-run
P42879950261A,POL870356481,Claim,ORPHAN,-4907,manual journal posted
P14118868978C,POL497699610,PolicyPeriod,MATCHED,0,
P17987227061B,PTY246920627,PolicyPeriod,MATCHED,0,see AGI-47886
P24279195472X,POL738034067,Invoice,MATCHED,0,manual journal posted
P78339789190X,POL696197826,ABContact,MATCHED,0,wave rolled back and re-run
P26145214103B,CLM881260619,PolicyPeriod,MATCHED,0,pence variance accepted per finance memo
P36857538189A,POL124590636,Invoice,MATCHED,0,
P15826202804B,POL495404120,ABContact,WRITTEN_OFF,-7757,manual journal posted
P44684228029B,POL895926714,Claim,DUPE,1142,wave rolled back and re-run
P60576167033B,CLM258343337,PolicyPeriod,MATCHED,0,wave rolled back and re-run
P67398294335X,PTY568651752,ABContact,MATCHED,0,pence variance accepted per finance memo
P24059735152C,PTY628909899,Invoice,ORPHAN,6976,
P27998912080B,PTY346682598,PolicyPeriod,MATCHED,0,pence variance accepted per finance memo
P89930993839X,CLM544635338,Invoice,MATCHED,0,wave rolled back and re-run
P23623746713A,PTY999185042,Invoice,MATCHED,0,
P76557358479C,CLM917393226,ABContact,FIXED_BY_SQL,-1802,manual journal posted
P18493860444C,PTY606490787,PolicyPeriod,MATCHED,0,see AGI-19152
P65046786096C,CLM575238512,Invoice,MATCHED,0,wave rolled back and re-run
P30662896436C,CLM583438313,Invoice,WRITTEN_OFF,-2987,see GWPC-10114
P31098258682C,PTY441721649,Claim,WRITTEN_OFF,1235,wave rolled back and re-run
P49012928367X,CLM199851566,PolicyPeriod,MATCHED,0,see HERIT-38503
P79093409000A,PTY724721584,PolicyPeriod,MATCHED,0,wave rolled back and re-run
P39464252953B,PTY373366242,Claim,MATCHED,0,see GWPC-15307
P67395878320X,CLM646665226,PolicyPeriod,MATCHED,0,pence variance accepted per finance memo
P59658342227B,CLM947282124,PolicyPeriod,DUPE,-4233,manual journal posted
P30616144921B,PTY584281871,ABContact,MATCHED,0,wave rolled back and re-run
P96953729911X,CLM362829687,ABContact,ORPHAN,-4589,
P20129045497A,POL988899867,Invoice,WRITTEN_OFF,-6499,wave rolled back and re-run
P91953181693B,POL157630147,PolicyPeriod,MATCHED,0,
P25963427054C,CLM200011400,Claim,ORPHAN,-8181,see INC-22238
P24753887055A,PTY676794788,Claim,MATCHED,0,see REG-5917
P12981347549B,PTY460573718,Invoice,MATCHED,0,pence variance accepted per finance memo
