POLARIS_REF,GW_REF,ENTITY,RECON_STATUS,DELTA_PENCE,NOTES
P71386307554A,PTY993357314,Invoice,MATCHED,0,
P74918798569B,CLM934888230,PolicyPeriod,MATCHED,0,see PRB-30509
P12975900954A,CLM315456147,Invoice,MATCHED,0,
P13367190216X,POL477281439,Claim,MATCHED,0,manual journal posted
P10016343504C,POL379410146,ABContact,MATCHED,0,pence variance accepted per finance memo
P82647715143B,CLM608577462,Invoice,ORPHAN,177,manual journal posted
P89429870939B,POL180374405,Invoice,MATCHED,0,pence variance accepted per finance memo
P72082030168C,CLM880712174,Invoice,MATCHED,0,pence variance accepted per finance memo
P39981341519A,PTY360087331,PolicyPeriod,FIXED_BY_SQL,-6150,pence variance accepted per finance memo
P16135119660B,CLM174056371,PolicyPeriod,MATCHED,0,
P64191567127X,POL507176166,Invoice,MATCHED,0,
P86248692919A,PTY614926310,PolicyPeriod,MATCHED,0,pence variance accepted per finance memo
P12329094087B,CLM238986400,ABContact,MATCHED,0,manual journal posted
P33736377054A,CLM717234056,Invoice,MATCHED,0,see GWPC-30169
P34749224686A,PTY674493852,Invoice,MATCHED,0,see AGI-13712
P34697518103X,POL565364320,ABContact,WRITTEN_OFF,5598,see GWCC-29613
P96167073037A,POL563392047,ABContact,MATCHED,0,
P70317996860B,CLM342946564,Claim,MATCHED,0,pence variance accepted per finance memo
P53417040338C,CLM852351676,Claim,MATCHED,0,
P86787534748X,CLM558260944,Claim,MATCHED,0,
P44828804961X,POL711142113,Claim,MATCHED,0,pence variance accepted per finance memo
P18723085083C,PTY376172347,ABContact,FIXED_BY_SQL,1605,see AGI-42452
P45724467921B,POL544934960,Claim,MATCHED,0,wave rolled back and re-run
P69565216345A,POL702483765,PolicyPeriod,MATCHED,0,
P18251574735B,POL426589249,ABContact,ORPHAN,-196,see PRB-20358
P84824203500X,POL548163901,Invoice,MATCHED,0,pence variance accepted per finance memo
P42394839667B,POL779580206,ABContact,ORPHAN,1318,wave rolled back and re-run
P29740094360X,PTY496674858,Claim,MATCHED,0,pence variance accepted per finance memo
P37514648523C,POL154034978,ABContact,MATCHED,0,pence variance accepted per finance memo
P86025961576A,POL139092684,Claim,DUPE,-6775,manual journal posted
P48131784560A,POL145384520,Invoice,MATCHED,0,wave rolled back and re-run
P19783694183A,CLM233386631,PolicyPeriod,MATCHED,0,pence variance accepted per finance memo
P96531224300A,PTY256127565,Claim,ORPHAN,7715,
P17695705522B,CLM194416204,PolicyPeriod,FIXED_BY_SQL,-4111,see INC-30038
P66017787407C,CLM718684262,PolicyPeriod,MATCHED,0,
P59282917639X,POL842487821,ABContact,MATCHED,0,wave rolled back and re-run
P83941230228B,POL519784771,ABContact,MATCHED,0,see PRB-17861
P86956684518X,PTY649162733,Invoice,MATCHED,0,pence variance accepted per finance memo
