POLARIS_REF,GW_REF,ENTITY,RECON_STATUS,DELTA_PENCE,NOTES
P24950136773X,POL876520657,Claim,MATCHED,0,manual journal posted
P51783724141B,CLM938472109,Invoice,DUPE,2570,see CM-38863
P20847814333C,POL453221421,PolicyPeriod,MATCHED,0,manual journal posted
P62454186428A,PTY690144363,PolicyPeriod,MATCHED,0,manual journal posted
P39428952117C,CLM691599805,PolicyPeriod,MATCHED,0,manual journal posted
P44638590142B,CLM407915814,ABContact,MATCHED,0,
P96364120106B,POL353357603,Invoice,FIXED_BY_SQL,1501,manual journal posted
P82943289938X,CLM549991628,PolicyPeriod,DUPE,9341,wave rolled back and re-run
P90335741312C,PTY791277799,PolicyPeriod,MATCHED,0,
P54561719583B,CLM903642849,Claim,MATCHED,0,
P23181954116C,CLM253987033,ABContact,MATCHED,0,pence variance accepted per finance memo
P57768326301X,CLM222242862,Claim,MATCHED,0,wave rolled back and re-run
P25975923275A,CLM604655288,PolicyPeriod,MATCHED,0,wave rolled back and re-run
P64450977283B,PTY271075096,Claim,MATCHED,0,pence variance accepted per finance memo
P56122235231B,POL890595657,PolicyPeriod,DUPE,6351,wave rolled back and re-run
P34066264701X,PTY365046769,Claim,WRITTEN_OFF,-2479,manual journal posted
P61732279535A,POL509936276,Invoice,FIXED_BY_SQL,-2980,pence variance accepted per finance memo
P30257321923A,CLM472953934,Claim,MATCHED,0,see CHG-40010
P60367627559A,POL886234834,PolicyPeriod,MATCHED,0,manual journal posted
P54180478119A,CLM305320833,PolicyPeriod,MATCHED,0,wave rolled back and re-run
P78435564252A,PTY448944786,Invoice,MATCHED,0,
P34915594739A,PTY258944862,ABContact,MATCHED,0,
P27665778270X,PTY103499391,PolicyPeriod,MATCHED,0,wave rolled back and re-run
P71869950450B,POL287216668,Claim,MATCHED,0,manual journal posted
P57546921906X,CLM439245280,ABContact,MATCHED,0,
P31090821824C,PTY536329101,Invoice,FIXED_BY_SQL,-1447,see GWBC-29959
P48938836571C,POL890034526,Claim,MATCHED,0,wave rolled back and re-run
P61664676539C,CLM934629355,Invoice,MATCHED,0,wave rolled back and re-run
P21811437253A,POL604791349,Claim,DUPE,9021,pence variance accepted per finance memo
P69670450193B,CLM864696266,ABContact,MATCHED,0,
P16680933544X,POL566728323,Claim,MATCHED,0,see CM-45788
P78630143487X,PTY727281450,ABContact,MATCHED,0,
P16551750252A,PTY353171293,Invoice,MATCHED,0,
P96374605366X,POL216105357,Invoice,DUPE,-5419,
P81394845768C,CLM128043676,PolicyPeriod,ORPHAN,-2939,
P21430608976B,POL501558879,Claim,MATCHED,0,manual journal posted
P33985460566C,POL324563784,ABContact,MATCHED,0,manual journal posted
P37880028960B,CLM174783684,ABContact,ORPHAN,3955,
P37372592228C,PTY426207220,Claim,FIXED_BY_SQL,-7534,manual journal posted
P12919043596A,PTY759939195,Claim,MATCHED,0,manual journal posted
P95477223854C,CLM116162077,PolicyPeriod,MATCHED,0,see PRB-38718
P44913463039A,POL738742296,Invoice,MATCHED,0,manual journal posted
P21068520934A,POL516752112,PolicyPeriod,FIXED_BY_SQL,8840,see PRB-33226
P55095597763A,CLM636332551,Invoice,DUPE,-3038,
P81574536079A,CLM584352922,Claim,ORPHAN,6723,manual journal posted
P55560333882B,CLM417798199,Invoice,DUPE,7326,wave rolled back and re-run
P13015034965A,POL149724016,Invoice,MATCHED,0,wave rolled back and re-run
P47181200480B,PTY406222971,Invoice,MATCHED,0,
P19594980033X,CLM928753455,Claim,MATCHED,0,pence variance accepted per finance memo
P84325179567C,PTY133142165,ABContact,MATCHED,0,pence variance accepted per finance memo
P79740214072C,POL195830461,Claim,MATCHED,0,pence variance accepted per finance memo
P24954301919B,CLM325042064,Invoice,DUPE,363,manual journal posted
P72257314061B,POL372408919,ABContact,MATCHED,0,pence variance accepted per finance memo
P71353236060A,POL196325233,PolicyPeriod,MATCHED,0,see PRB-30730
P39090812274A,CLM835647726,ABContact,MATCHED,0,pence variance accepted per finance memo
P69781448915X,POL470321666,Invoice,MATCHED,0,wave rolled back and re-run
P76181131431A,POL454206555,Invoice,ORPHAN,8814,manual journal posted
P24062122696A,CLM965244852,Claim,FIXED_BY_SQL,-4513,wave rolled back and re-run
