POLARIS_REF,GW_REF,ENTITY,RECON_STATUS,DELTA_PENCE,NOTES
P44777581005X,PTY292806195,Invoice,MATCHED,0,pence variance accepted per finance memo
P74671551834A,CLM538325920,ABContact,MATCHED,0,see CM-24791
P75758280067X,CLM992256331,ABContact,ORPHAN,3232,see DEF-25157
P30173844655B,POL763455114,PolicyPeriod,MATCHED,0,wave rolled back and re-run
P85160770126X,CLM723158721,Invoice,MATCHED,0,see GWPC-15795
P76321329278B,POL961647475,PolicyPeriod,MATCHED,0,pence variance accepted per finance memo
P30692626184X,CLM162456238,PolicyPeriod,MATCHED,0,wave rolled back and re-run
P94590446071B,POL545301544,PolicyPeriod,MATCHED,0,pence variance accepted per finance memo
P77748646779X,POL810437601,PolicyPeriod,MATCHED,0,
P26192716453C,POL567761666,ABContact,FIXED_BY_SQL,-168,
P67474812699C,CLM477594480,Claim,MATCHED,0,wave rolled back and re-run
P18683242100A,PTY573074160,ABContact,MATCHED,0,see INC-3479
P13466077349A,CLM195161603,PolicyPeriod,MATCHED,0,pence variance accepted per finance memo
P56153428257C,PTY177843031,Invoice,MATCHED,0,wave rolled back and re-run
P33391676008C,CLM958227034,Invoice,MATCHED,0,manual journal posted
P76238095060A,POL772513783,Claim,MATCHED,0,manual journal posted
P69347602075B,PTY707629030,Claim,DUPE,-4857,see HERIT-24870
P30898174240X,PTY161998747,ABContact,MATCHED,0,pence variance accepted per finance memo
P95328787393C,POL227791913,Invoice,MATCHED,0,wave rolled back and re-run
P51749277652C,CLM853178732,Invoice,MATCHED,0,pence variance accepted per finance memo
P57013136929B,POL726296118,Invoice,MATCHED,0,wave rolled back and re-run
P67228829602B,POL849904792,Claim,MATCHED,0,pence variance accepted per finance memo
P95810660305B,PTY819746900,Invoice,DUPE,-9543,pence variance accepted per finance memo
P43941186690A,PTY710154134,Claim,MATCHED,0,
P84971730059B,POL313920390,ABContact,MATCHED,0,see DEF-27285
P61972971598A,POL286188017,Claim,DUPE,6743,
P76027229366A,CLM353668224,Invoice,MATCHED,0,wave rolled back and re-run
P16840483252C,POL964827996,Claim,DUPE,-8495,pence variance accepted per finance memo
P90751927020C,CLM709042627,Invoice,MATCHED,0,wave rolled back and re-run
P92356525932A,POL987116549,Invoice,FIXED_BY_SQL,6303,see CHG-32870
P36932448566X,PTY207038268,PolicyPeriod,FIXED_BY_SQL,6675,
P17496794353X,POL655550455,Claim,DUPE,3379,manual journal posted
P68391675427X,PTY128835415,Invoice,MATCHED,0,see CM-5393
P61624347982B,POL203586376,PolicyPeriod,MATCHED,0,pence variance accepted per finance memo
P47630762919A,CLM988979491,PolicyPeriod,MATCHED,0,
P89558430482X,POL805839598,PolicyPeriod,MATCHED,0,pence variance accepted per finance memo
