POLARIS_REF,GW_REF,ENTITY,RECON_STATUS,DELTA_PENCE,NOTES
P18926769003C,PTY414996770,PolicyPeriod,DUPE,-8125,see PRB-24843
P77583343727C,PTY758910167,Invoice,MATCHED,0,see HERIT-7477
P59088350599X,PTY643185049,Claim,ORPHAN,8339,see PRB-13943
P16439962238C,CLM497669757,Invoice,MATCHED,0,manual journal posted
P59149639397A,POL400253766,Claim,MATCHED,0,
P56815632546X,CLM949415209,PolicyPeriod,MATCHED,0,manual journal posted
P90238941585X,PTY105632048,PolicyPeriod,MATCHED,0,see DEF-672
P49110509453C,POL236820515,ABContact,MATCHED,0,manual journal posted
P60463229607B,CLM378537170,PolicyPeriod,MATCHED,0,
P43961133677C,POL244794810,Invoice,DUPE,-8256,see REG-40660
P44380397839B,PTY574588515,Invoice,MATCHED,0,
P69579658550A,CLM136907735,PolicyPeriod,ORPHAN,-7137,see GWBC-43845
P92143816132B,PTY724054740,PolicyPeriod,MATCHED,0,
P63969659993X,CLM668374231,Claim,ORPHAN,-8760,wave rolled back and re-run
P90366395874B,PTY511884413,ABContact,MATCHED,0,wave rolled back and re-run
P76620735515B,PTY235380043,Invoice,MATCHED,0,wave rolled back and re-run
P73373066745B,PTY771816114,Claim,MATCHED,0,pence variance accepted per finance memo
P31146047893A,CLM846038788,Invoice,MATCHED,0,wave rolled back and re-run
P93256990128C,PTY559465362,PolicyPeriod,MATCHED,0,wave rolled back and re-run
P58225856570X,PTY926180934,Invoice,MATCHED,0,
P17482307094B,PTY908950110,ABContact,MATCHED,0,manual journal posted
P49594375553X,CLM279549364,ABContact,MATCHED,0,manual journal posted
P13179727349X,CLM275055897,PolicyPeriod,WRITTEN_OFF,-4592,wave rolled back and re-run
P11145158384A,PTY599229036,PolicyPeriod,MATCHED,0,
P11670278577C,POL352021478,Claim,WRITTEN_OFF,2702,see PRB-39864
P52223723704A,CLM913505956,Invoice,DUPE,-9048,wave rolled back and re-run
P44462280774A,CLM146031593,Invoice,ORPHAN,5981,pence variance accepted per finance memo
P78612821645X,CLM752331646,Invoice,MATCHED,0,see PRB-4605
P56566340851X,PTY257216671,Claim,DUPE,-407,see INC-25846
P28591616720A,POL350837283,ABContact,MATCHED,0,
P72521666432C,POL335447907,PolicyPeriod,MATCHED,0,
P31911850311A,POL613937810,Invoice,MATCHED,0,see GWCC-24716
P23891638108A,CLM976454404,Claim,FIXED_BY_SQL,2618,pence variance accepted per finance memo
P45023828331X,POL415984467,Invoice,MATCHED,0,pence variance accepted per finance memo
P94794496481B,PTY396838389,ABContact,MATCHED,0,see GWPC-43712
P39163414855X,PTY816379267,PolicyPeriod,MATCHED,0,
P41436818053A,CLM708809678,Invoice,MATCHED,0,manual journal posted
P39547959198B,POL426829469,Claim,MATCHED,0,pence variance accepted per finance memo
P44049071917B,CLM712838497,ABContact,MATCHED,0,pence variance accepted per finance memo
P66637077424A,CLM931558128,Claim,MATCHED,0,see INC-16983
P83088381824X,CLM880911190,ABContact,MATCHED,0,
P26837870271C,POL928614956,Invoice,DUPE,-2900,see DEF-29214
P60172647927X,PTY516741018,PolicyPeriod,MATCHED,0,manual journal posted
P14252305218B,CLM910127740,Claim,MATCHED,0,wave rolled back and re-run
P73621365094C,CLM665911570,PolicyPeriod,MATCHED,0,
P88144958945X,PTY958049874,PolicyPeriod,MATCHED,0,pence variance accepted per finance memo
P41461687831A,CLM698201140,ABContact,MATCHED,0,see CHG-6820
P45033190340C,PTY768908351,Claim,FIXED_BY_SQL,-7358,manual journal posted
P80310277842A,CLM225055253,Claim,WRITTEN_OFF,8645,wave rolled back and re-run
P45932587958X,POL646642301,PolicyPeriod,MATCHED,0,manual journal posted
P91626527353A,POL179262453,PolicyPeriod,MATCHED,0,
P32440435088C,PTY946750832,PolicyPeriod,MATCHED,0,pence variance accepted per finance memo
P20828197207X,POL452529920,ABContact,MATCHED,0,pence variance accepted per finance memo
P42861744756C,CLM172129463,Claim,MATCHED,0,see PRB-28721
P15061756440X,PTY711830138,ABContact,MATCHED,0,
P46538459941X,PTY772366576,Claim,MATCHED,0,manual journal posted
P99269242578A,CLM418399915,Claim,MATCHED,0,pence variance accepted per finance memo
P26791097229A,PTY650312742,Claim,WRITTEN_OFF,1540,manual journal posted
P40311231903X,PTY759414084,Claim,ORPHAN,-6420,manual journal posted
P68067267202B,POL348391947,ABContact,DUPE,8796,pence variance accepted per finance memo
P58312152122B,PTY730125685,Claim,DUPE,1542,
P57613187120A,POL187623842,ABContact,WRITTEN_OFF,3988,manual journal posted
P47775282394X,POL194574470,Invoice,MATCHED,0,pence variance accepted per finance memo
P13454469751B,POL374811624,ABContact,MATCHED,0,wave rolled back and re-run
P93873573568A,PTY229103439,PolicyPeriod,MATCHED,0,
P37150745158A,POL953139625,Claim,MATCHED,0,wave rolled back and re-run
P50013088801C,CLM473432681,PolicyPeriod,FIXED_BY_SQL,3140,pence variance accepted per finance memo
P60185946282C,PTY669710503,Invoice,MATCHED,0,see GWCC-1968
P74250214512A,POL846914449,PolicyPeriod,MATCHED,0,wave rolled back and re-run
P55227427387B,POL233503649,Invoice,MATCHED,0,
P53379797701C,CLM274549522,ABContact,MATCHED,0,pence variance accepted per finance memo
P79625091547A,POL619942495,PolicyPeriod,MATCHED,0,wave rolled back and re-run
P49320321216C,POL472685576,ABContact,MATCHED,0,pence variance accepted per finance memo
P73156343383B,CLM543348118,Invoice,MATCHED,0,
P63441322397B,POL976799962,Claim,MATCHED,0,wave rolled back and re-run
P92852113664B,POL985518150,ABContact,MATCHED,0,manual journal posted
P16885814111B,PTY954278159,Claim,MATCHED,0,
P14315888015A,CLM386289566,PolicyPeriod,MATCHED,0,
P20479489314B,PTY236254580,ABContact,MATCHED,0,
P78846073798X,PTY684938803,ABContact,MATCHED,0,wave rolled back and re-run
P23428850644B,POL599853109,Invoice,MATCHED,0,
P37123495312B,PTY217763195,ABContact,DUPE,5181,
P21717556878C,PTY181113894,Invoice,FIXED_BY_SQL,-3377,see REG-20885
P70110021233X,CLM917877784,ABContact,FIXED_BY_SQL,-4906,
P93558434763X,POL802808941,Claim,MATCHED,0,
P37640771430B,CLM581805686,Invoice,DUPE,5657,pence variance accepted per finance memo
P23444679888C,PTY130974893,ABContact,DUPE,-8365,wave rolled back and re-run
P46891868751C,CLM250300891,Claim,FIXED_BY_SQL,7638,wave rolled back and re-run
P87987440899X,POL943680548,ABContact,MATCHED,0,
P18922575105C,POL792026410,PolicyPeriod,MATCHED,0,pence variance accepted per finance memo
P38382524188B,POL720031039,PolicyPeriod,MATCHED,0,
P14114097955C,POL328067507,Claim,MATCHED,0,pence variance accepted per finance memo
