POLARIS_REF,GW_REF,ENTITY,RECON_STATUS,DELTA_PENCE,NOTES
P25029512917X,POL770655299,Invoice,MATCHED,0,pence variance accepted per finance memo
P13566046342X,PTY193316121,Invoice,MATCHED,0,
P38327379382A,PTY591471384,PolicyPeriod,MATCHED,0,manual journal posted
P49677624495B,POL631914768,PolicyPeriod,DUPE,8855,manual journal posted
P52172328426X,CLM691577350,Invoice,MATCHED,0,see HERIT-4181
P73840804064X,POL861284937,PolicyPeriod,ORPHAN,-6709,manual journal posted
P74816763683A,PTY934426228,PolicyPeriod,FIXED_BY_SQL,6987,
P91837344495A,CLM456974191,Claim,WRITTEN_OFF,-4524,wave rolled back and re-run
P22681735709C,POL501673917,Invoice,MATCHED,0,
P65294795655A,CLM304555797,PolicyPeriod,MATCHED,0,wave rolled back and re-run
P19047207768A,CLM481872490,Claim,MATCHED,0,see CM-27595
P69179871588X,CLM428503377,ABContact,MATCHED,0,
P61393222641X,CLM472351968,PolicyPeriod,MATCHED,0,manual journal posted
P77961999662A,CLM452312350,ABContact,MATCHED,0,wave rolled back and re-run
P11912220008A,CLM154539090,PolicyPeriod,MATCHED,0,manual journal posted
P19985688245B,PTY637043793,Claim,MATCHED,0,
P97185714486A,POL960752614,ABContact,FIXED_BY_SQL,5951,see PRB-36430
P50551388119A,POL325102669,PolicyPeriod,MATCHED,0,
P71715536922B,CLM922530662,ABContact,MATCHED,0,manual journal posted
P79536700999X,CLM523646909,ABContact,MATCHED,0,
P69284893790A,CLM819934283,Claim,DUPE,6457,wave rolled back and re-run
P15963863867B,PTY462885817,PolicyPeriod,ORPHAN,-6407,manual journal posted
P60178589010B,PTY171927493,PolicyPeriod,MATCHED,0,see CM-17401
P27535244924X,CLM921843248,Invoice,MATCHED,0,see AGI-13927
P10723624102X,CLM297525914,PolicyPeriod,MATCHED,0,
P44275261094A,CLM332930293,PolicyPeriod,DUPE,-1078,manual journal posted
P75940297570A,POL844406650,Invoice,MATCHED,0,see GWCC-24791
P67557838361C,PTY373903928,PolicyPeriod,MATCHED,0,see GWCC-16062
P64918254116B,CLM494793956,Invoice,MATCHED,0,
P61657617392C,POL654882043,ABContact,MATCHED,0,see REG-23391
P43169203848B,CLM351479410,ABContact,MATCHED,0,pence variance accepted per finance memo
P66659391941B,POL775499011,Invoice,MATCHED,0,
P42940363936B,POL432284070,Claim,MATCHED,0,pence variance accepted per finance memo
P59420079457B,CLM700021831,Claim,FIXED_BY_SQL,-148,
P31480325599A,POL805435190,Claim,MATCHED,0,see CM-8548
P76661588715C,PTY642588402,Claim,MATCHED,0,
P27625487954A,PTY960348435,Invoice,MATCHED,0,wave rolled back and re-run
P30481472768X,CLM741998476,PolicyPeriod,MATCHED,0,manual journal posted
P65626583284B,POL838804273,Claim,MATCHED,0,pence variance accepted per finance memo
P85243460812C,PTY550356157,Invoice,FIXED_BY_SQL,2355,
P31617349399X,POL625079344,Invoice,ORPHAN,9844,wave rolled back and re-run
P55129548099A,CLM278000466,Invoice,MATCHED,0,wave rolled back and re-run
P44124448332C,CLM899294794,Invoice,MATCHED,0,wave rolled back and re-run
P51684835566C,PTY277197762,Invoice,MATCHED,0,pence variance accepted per finance memo
P10399882750X,CLM665529106,Claim,MATCHED,0,wave rolled back and re-run
P52876831404C,PTY543537435,PolicyPeriod,MATCHED,0,wave rolled back and re-run
P15144479710C,CLM299665946,Invoice,MATCHED,0,
P75116413917B,PTY401560008,Invoice,FIXED_BY_SQL,3922,wave rolled back and re-run
P52483594269A,CLM233865044,ABContact,MATCHED,0,wave rolled back and re-run
P86291406261X,CLM940182990,Invoice,MATCHED,0,manual journal posted
P22751922919A,CLM807981557,ABContact,MATCHED,0,manual journal posted
P88414777852C,POL930565211,ABContact,FIXED_BY_SQL,-4487,manual journal posted
P34881835250X,CLM944216230,Claim,MATCHED,0,
P54214145420C,PTY565050123,Claim,ORPHAN,5582,wave rolled back and re-run
P42628201964B,CLM569189936,Invoice,MATCHED,0,
P16521881524X,POL501443842,ABContact,MATCHED,0,wave rolled back and re-run
P45092365151X,CLM275919205,Invoice,FIXED_BY_SQL,1223,wave rolled back and re-run
P52069418596C,PTY267017427,ABContact,MATCHED,0,manual journal posted
