POLARIS_REF,GW_REF,ENTITY,RECON_STATUS,DELTA_PENCE,NOTES
P20067282797C,CLM853547431,Claim,MATCHED,0,
P11131214060X,CLM551116081,ABContact,MATCHED,0,manual journal posted
P16618160273X,POL655130078,Claim,ORPHAN,-4962,wave rolled back and re-run
P82152631097A,PTY474502679,PolicyPeriod,DUPE,-6468,
P70580420558A,CLM929730628,PolicyPeriod,MATCHED,0,
P41764671543X,POL292673072,PolicyPeriod,MATCHED,0,pence variance accepted per finance memo
P14147970555B,POL213455802,PolicyPeriod,DUPE,6357,
P15020815134C,PTY119993816,Invoice,MATCHED,0,
P67415532945X,CLM482401055,PolicyPeriod,MATCHED,0,
P13498980431X,POL906065913,Invoice,MATCHED,0,see CM-13308
P41237700396X,PTY937409670,Invoice,ORPHAN,5176,see PRB-16859
P78742932728B,PTY809532674,Invoice,MATCHED,0,wave rolled back and re-run
P22436232124A,PTY513053978,PolicyPeriod,WRITTEN_OFF,146,see PRB-38505
P52996336015B,PTY739821394,Claim,FIXED_BY_SQL,1604,manual journal posted
P68190515711B,PTY781858226,PolicyPeriod,MATCHED,0,
P27711595175C,POL202614198,Invoice,ORPHAN,-1287,see HERIT-19448
P96469011059X,POL644640268,ABContact,FIXED_BY_SQL,-7475,manual journal posted
P75777524116X,PTY582361172,ABContact,MATCHED,0,
P89131818346X,PTY818776273,ABContact,DUPE,-5545,wave rolled back and re-run
P12252217332C,PTY832894678,Claim,MATCHED,0,manual journal posted
P30670727651A,PTY714348513,Invoice,MATCHED,0,manual journal posted
P52062307013B,PTY272679009,Claim,MATCHED,0,manual journal posted
P22869628370B,PTY398292650,Claim,MATCHED,0,
P92485290104B,POL108558911,ABContact,MATCHED,0,pence variance accepted per finance memo
P71455680708X,PTY725663297,Claim,MATCHED,0,pence variance accepted per finance memo
P33289103946X,PTY711986025,ABContact,MATCHED,0,
P20279690920C,POL304407942,Claim,MATCHED,0,see REG-45864
P89759831960A,PTY828562851,Claim,MATCHED,0,manual journal posted
P63662222565C,POL808646530,Claim,MATCHED,0,wave rolled back and re-run
P17566798789A,CLM448956668,ABContact,DUPE,2890,pence variance accepted per finance memo
P34652210648X,PTY918695514,Claim,MATCHED,0,pence variance accepted per finance memo
P61813829064B,POL952817215,ABContact,MATCHED,0,manual journal posted
P61460969862X,PTY728520532,Claim,MATCHED,0,
P53841550277C,PTY819231318,Claim,MATCHED,0,wave rolled back and re-run
P37862441521X,PTY350610871,ABContact,MATCHED,0,pence variance accepted per finance memo
P91676648398X,CLM199172402,Invoice,MATCHED,0,
P42228457272C,CLM904517822,Claim,MATCHED,0,pence variance accepted per finance memo
P72319037401B,POL612813847,Invoice,ORPHAN,4639,pence variance accepted per finance memo
P62359573765X,CLM841997967,ABContact,MATCHED,0,manual journal posted
P39816510067A,PTY310744160,Claim,MATCHED,0,manual journal posted
P59274603840B,PTY530037960,Invoice,MATCHED,0,wave rolled back and re-run
P97553166531A,PTY249445882,Invoice,WRITTEN_OFF,2780,see DEF-14048
P81921523513A,PTY378263070,ABContact,MATCHED,0,pence variance accepted per finance memo
P75493659237A,POL476177582,ABContact,MATCHED,0,see DEF-963
P51716946701C,POL507932593,Claim,MATCHED,0,manual journal posted
P32811500040C,PTY754313172,PolicyPeriod,MATCHED,0,see GWPC-9530
P82626136976X,CLM350872006,PolicyPeriod,MATCHED,0,see CHG-43570
P65284343114B,POL321699315,ABContact,WRITTEN_OFF,-570,wave rolled back and re-run
P91743115886X,CLM442297329,Claim,MATCHED,0,pence variance accepted per finance memo
P39113494062B,PTY606844300,Claim,MATCHED,0,manual journal posted
P56133162805A,POL112496347,ABContact,MATCHED,0,wave rolled back and re-run
P29891250524A,POL758845848,PolicyPeriod,MATCHED,0,wave rolled back and re-run
P11075867322A,CLM350534529,PolicyPeriod,MATCHED,0,manual journal posted
P56798024079A,PTY260266348,PolicyPeriod,MATCHED,0,pence variance accepted per finance memo
P16648541972C,PTY526871845,Invoice,MATCHED,0,manual journal posted
P33682052039C,CLM377648600,PolicyPeriod,MATCHED,0,
P71790305301B,POL298553882,Invoice,MATCHED,0,wave rolled back and re-run
P24250393121C,CLM484797739,ABContact,MATCHED,0,wave rolled back and re-run
P82233913349X,PTY803474615,Invoice,MATCHED,0,manual journal posted
