POLARIS_REF,GW_REF,ENTITY,RECON_STATUS,DELTA_PENCE,NOTES
P95645643143X,CLM327485941,Invoice,ORPHAN,9944,pence variance accepted per finance memo
P91332915674B,PTY236289493,Invoice,MATCHED,0,manual journal posted
P73836472997X,POL674596408,ABContact,DUPE,-6805,
P47265077061X,POL565763131,Claim,MATCHED,0,wave rolled back and re-run
P32148546478A,PTY920934462,Invoice,MATCHED,0,manual journal posted
P55837858504X,CLM916687932,Claim,MATCHED,0,wave rolled back and re-run
P55368301033A,PTY911720717,ABContact,MATCHED,0,see INC-2799
P20125041362B,POL294043975,PolicyPeriod,MATCHED,0,pence variance accepted per finance memo
P71938268672B,PTY265017763,Claim,MATCHED,0,
P19765803732A,PTY637613487,PolicyPeriod,MATCHED,0,
P62993293509A,POL433025074,PolicyPeriod,MATCHED,0,pence variance accepted per finance memo
P23698326499C,CLM395335923,PolicyPeriod,MATCHED,0,manual journal posted
P42488514727A,CLM372997387,ABContact,MATCHED,0,pence variance accepted per finance memo
P67415134184A,PTY540541566,Invoice,ORPHAN,5206,see INC-16634
P72779233765A,POL590104482,Invoice,ORPHAN,9054,see DEF-30935
P41318826727B,CLM256188067,ABContact,MATCHED,0,see PRB-21084
P22547048089X,CLM464553780,ABContact,MATCHED,0,pence variance accepted per finance memo
P82625898902C,PTY404459579,ABContact,MATCHED,0,wave rolled back and re-run
P92937022199B,PTY262095743,Invoice,WRITTEN_OFF,7795,manual journal posted
P33414797473A,PTY610744626,ABContact,MATCHED,0,manual journal posted
P89874982784C,PTY158867782,ABContact,MATCHED,0,see DEF-12351
P78662647009B,POL513814868,Claim,MATCHED,0,
P30961599968C,PTY234295880,ABContact,MATCHED,0,see DEF-11941
P23299958793X,CLM733277391,PolicyPeriod,ORPHAN,8279,pence variance accepted per finance memo
P33186116041B,POL658067893,PolicyPeriod,MATCHED,0,
P35597104049C,POL601850389,PolicyPeriod,MATCHED,0,wave rolled back and re-run
P93171100355C,POL487911788,Claim,MATCHED,0,
P53521409327X,CLM123756780,PolicyPeriod,DUPE,8914,wave rolled back and re-run
P38966987762B,CLM207961672,ABContact,MATCHED,0,see GWPC-28965
P49691292969A,POL993568569,Claim,MATCHED,0,pence variance accepted per finance memo
P13280571222A,POL420265361,PolicyPeriod,MATCHED,0,
P46793129218X,CLM220696293,Claim,ORPHAN,7120,
P44435597579A,PTY684341657,Invoice,MATCHED,0,
P73985603193A,CLM752399356,Claim,ORPHAN,4282,manual journal posted
P46438048831C,POL865368769,Invoice,DUPE,6397,manual journal posted
P53828711083B,POL302682358,Claim,MATCHED,0,see REG-8230
P50883387580C,POL988988752,Invoice,MATCHED,0,see GWBC-34002
P18131243401B,POL404034182,Invoice,DUPE,4054,
P58629942393B,CLM817544009,PolicyPeriod,DUPE,-5721,pence variance accepted per finance memo
P54714179467A,POL264679015,Claim,DUPE,-4019,manual journal posted
P38658897863X,POL674648347,PolicyPeriod,DUPE,9925,manual journal posted
P70522523832B,POL356593235,PolicyPeriod,MATCHED,0,manual journal posted
P98158075892X,PTY183634477,Claim,MATCHED,0,wave rolled back and re-run
P81714776897X,POL211386623,Claim,WRITTEN_OFF,7093,manual journal posted
P58455019893C,POL710591260,ABContact,MATCHED,0,
P81953304138B,CLM207437583,ABContact,MATCHED,0,manual journal posted
P35110519911X,POL128499879,ABContact,MATCHED,0,pence variance accepted per finance memo
P88625088141X,CLM497908090,Claim,ORPHAN,417,wave rolled back and re-run
P58652254142C,POL967387250,Invoice,WRITTEN_OFF,-6491,
P30091563083C,PTY559611716,Claim,MATCHED,0,manual journal posted
P17128904998B,PTY535692006,Claim,FIXED_BY_SQL,-4462,manual journal posted
P18433334844X,PTY213258435,PolicyPeriod,MATCHED,0,wave rolled back and re-run
P54936365248X,POL684499318,ABContact,MATCHED,0,see GWBC-43141
P46591914853X,PTY378795464,Invoice,ORPHAN,-6607,pence variance accepted per finance memo
P29789736817A,PTY749310216,ABContact,MATCHED,0,pence variance accepted per finance memo
P70269932558X,POL609034017,PolicyPeriod,ORPHAN,8406,pence variance accepted per finance memo
P52890686388B,CLM159142267,Claim,MATCHED,0,pence variance accepted per finance memo
