POLARIS_REF,GW_REF,ENTITY,RECON_STATUS,DELTA_PENCE,NOTES
P79466048070C,PTY724952847,PolicyPeriod,MATCHED,0,pence variance accepted per finance memo
P71524046002X,PTY752738048,Invoice,MATCHED,0,
P88527364738X,POL521330202,PolicyPeriod,MATCHED,0,see AGI-29344
P53946577472C,POL499628539,ABContact,MATCHED,0,pence variance accepted per finance memo
P51583159374B,POL828968709,PolicyPeriod,MATCHED,0,
P99519582091C,PTY544652610,ABContact,MATCHED,0,wave rolled back and re-run
P41026913408C,PTY747659686,Claim,MATCHED,0,wave rolled back and re-run
P58595257257B,PTY336442191,ABContact,MATCHED,0,see REG-33412
P77931738160C,POL928686049,ABContact,MATCHED,0,see HERIT-11120
P38810202533C,CLM971422308,ABContact,MATCHED,0,
P68814990028B,CLM748680113,PolicyPeriod,MATCHED,0,wave rolled back and re-run
P52864082433C,POL745360749,Claim,ORPHAN,2099,pence variance accepted per finance memo
P52631812885X,CLM606490218,Invoice,MATCHED,0,manual journal posted
P74282751163B,PTY671554254,Claim,MATCHED,0,
P63115456923X,CLM558477778,ABContact,FIXED_BY_SQL,-526,manual journal posted
P99645870830A,POL112308170,PolicyPeriod,MATCHED,0,pence variance accepted per finance memo
P97290111674C,POL909316020,PolicyPeriod,MATCHED,0,
P39359492093B,POL965262097,PolicyPeriod,MATCHED,0,manual journal posted
P40985477839A,CLM276879713,ABContact,ORPHAN,2598,
P83118299226A,POL637056788,PolicyPeriod,ORPHAN,7232,wave rolled back and re-run
P61680440646B,PTY953766080,Invoice,MATCHED,0,see DEF-27130
P37937922092A,PTY387123831,PolicyPeriod,FIXED_BY_SQL,8967,wave rolled back and re-run
P31499428529C,PTY609290070,ABContact,MATCHED,0,
P15424634073B,CLM322845991,PolicyPeriod,DUPE,-282,
P36930007692X,PTY955308424,PolicyPeriod,MATCHED,0,
P13022733902X,CLM623898577,PolicyPeriod,MATCHED,0,pence variance accepted per finance memo
P56513997687A,PTY448223207,PolicyPeriod,FIXED_BY_SQL,8135,
P25994958709C,CLM446647234,ABContact,ORPHAN,-679,see CM-32603
P71498742264C,PTY667024018,ABContact,MATCHED,0,wave rolled back and re-run
P71248725212A,PTY388902893,PolicyPeriod,DUPE,-7329,manual journal posted
P93132491379X,POL919231829,PolicyPeriod,MATCHED,0,pence variance accepted per finance memo
P72063361192C,PTY199892177,PolicyPeriod,MATCHED,0,pence variance accepted per finance memo
P57825829360A,CLM475088417,Invoice,MATCHED,0,wave rolled back and re-run
P53145349128B,PTY716234701,Invoice,MATCHED,0,pence variance accepted per finance memo
P67099184188C,POL205649902,Invoice,MATCHED,0,pence variance accepted per finance memo
P65349651620B,POL387438667,ABContact,MATCHED,0,see GWBC-44998
P60789279697A,PTY270824709,PolicyPeriod,DUPE,5041,pence variance accepted per finance memo
P59695597496B,PTY113026357,Claim,MATCHED,0,wave rolled back and re-run
P46736441505X,POL505788475,ABContact,MATCHED,0,wave rolled back and re-run
P43991335460C,PTY137662021,Claim,MATCHED,0,see INC-24297
P95131067600X,PTY194475979,PolicyPeriod,MATCHED,0,see AGI-34660
P59196516572A,POL496433486,ABContact,MATCHED,0,manual journal posted
P86365960693C,PTY461247688,ABContact,MATCHED,0,wave rolled back and re-run
P23339465726X,PTY660492573,PolicyPeriod,ORPHAN,9047,manual journal posted
P91328979450C,POL138459322,ABContact,WRITTEN_OFF,-4565,wave rolled back and re-run
P49542063164A,PTY565848932,ABContact,MATCHED,0,manual journal posted
P60492885813C,CLM231570180,Claim,DUPE,4340,
P37568547173C,CLM485653669,ABContact,ORPHAN,8154,see HERIT-37346
P44461159533B,PTY702778627,ABContact,MATCHED,0,manual journal posted
P43917954042X,CLM427725503,PolicyPeriod,ORPHAN,-8069,
P35690247018X,PTY980378186,PolicyPeriod,ORPHAN,6941,
P86823432664B,CLM347063435,Invoice,FIXED_BY_SQL,9651,wave rolled back and re-run
P45318968473A,PTY795553856,ABContact,MATCHED,0,manual journal posted
P83711376187X,POL898436694,ABContact,MATCHED,0,pence variance accepted per finance memo
P87695551661C,CLM292175544,PolicyPeriod,MATCHED,0,manual journal posted
P85520306003C,POL546802705,PolicyPeriod,MATCHED,0,pence variance accepted per finance memo
P61125931832C,CLM775290777,ABContact,MATCHED,0,
P61996943089B,POL269681700,Invoice,MATCHED,0,pence variance accepted per finance memo
P71233586585X,PTY994270603,Invoice,MATCHED,0,see DEF-4876
P35716707805A,PTY221532613,ABContact,MATCHED,0,
P99231076246B,PTY951588028,Claim,MATCHED,0,wave rolled back and re-run
P31665259698X,POL961451483,PolicyPeriod,MATCHED,0,
