POLARIS_REF,GW_REF,ENTITY,RECON_STATUS,DELTA_PENCE,NOTES
P25567555456C,POL839588649,ABContact,MATCHED,0,see AGI-12567
P84846990057B,PTY116731410,Invoice,MATCHED,0,
P26032412905X,PTY581432853,PolicyPeriod,ORPHAN,1793,manual journal posted
P54741712512A,CLM798513421,Claim,ORPHAN,-9456,
P88490831895X,POL228060991,Invoice,MATCHED,0,
P12277910409A,POL124121311,Claim,MATCHED,0,see CM-11311
P90712615062C,POL188270452,PolicyPeriod,MATCHED,0,see INC-41771
P10123418836B,POL186599030,Claim,MATCHED,0,pence variance accepted per finance memo
P48755903609A,CLM174467581,Claim,MATCHED,0,
P95749768658C,PTY290918993,PolicyPeriod,MATCHED,0,
P79875657326A,POL463669343,ABContact,MATCHED,0,
P54915039714B,PTY446970671,ABContact,MATCHED,0,
P82943107143A,CLM203429093,Claim,MATCHED,0,wave rolled back and re-run
P79320833361A,PTY493591947,Invoice,MATCHED,0,
P37433195201A,POL229833068,Invoice,MATCHED,0,pence variance accepted per finance memo
P88115330574X,PTY363653055,ABContact,MATCHED,0,pence variance accepted per finance memo
P17538848859C,PTY491229271,PolicyPeriod,MATCHED,0,pence variance accepted per finance memo
P65859261620X,PTY624909938,Claim,MATCHED,0,pence variance accepted per finance memo
P20789917327C,POL863318153,Invoice,MATCHED,0,manual journal posted
P71252897096B,CLM203385378,Invoice,MATCHED,0,
P93822522076B,POL328878931,Claim,MATCHED,0,
P49691871924C,CLM397370412,Invoice,MATCHED,0,manual journal posted
P94561450500B,POL512607952,Invoice,MATCHED,0,pence variance accepted per finance memo
P29382995047A,PTY167197626,Invoice,MATCHED,0,see GWPC-34598
P17369146992C,PTY134515958,ABContact,MATCHED,0,
P12746090951X,POL128210180,Claim,MATCHED,0,pence variance accepted per finance memo
P22128958019B,CLM891817657,Invoice,MATCHED,0,manual journal posted
P16671275632C,PTY509196721,Claim,MATCHED,0,manual journal posted
P34865370105X,CLM574436088,Claim,MATCHED,0,wave rolled back and re-run
P51459622453C,PTY446386871,PolicyPeriod,DUPE,4223,pence variance accepted per finance memo
P22265366595X,PTY658498438,ABContact,WRITTEN_OFF,1604,pence variance accepted per finance memo
P38151048941X,PTY871523007,ABContact,ORPHAN,-1646,see REG-21930
P76917625712X,POL701237779,PolicyPeriod,MATCHED,0,see INC-24001
P62668610184X,POL837015498,PolicyPeriod,MATCHED,0,pence variance accepted per finance memo
