POLARIS_REF,GW_REF,ENTITY,RECON_STATUS,DELTA_PENCE,NOTES
P19161466689C,POL908742392,PolicyPeriod,MATCHED,0,wave rolled back and re-run
P15924023977C,PTY333500721,ABContact,MATCHED,0,manual journal posted
P73762523055X,POL167737367,ABContact,MATCHED,0,
P26476745989A,PTY343794480,ABContact,MATCHED,0,wave rolled back and re-run
P39849522900B,PTY668302875,PolicyPeriod,DUPE,-5696,pence variance accepted per finance memo
P46851343090A,PTY914438521,Claim,MATCHED,0,manual journal posted
P82520373438X,PTY865575754,ABContact,MATCHED,0,
P99892407443C,CLM699410116,PolicyPeriod,ORPHAN,7103,pence variance accepted per finance memo
P28729750553B,POL296226730,Invoice,FIXED_BY_SQL,5286,see GWCC-27030
P96045471510C,CLM703109961,PolicyPeriod,WRITTEN_OFF,-4764,wave rolled back and re-run
P31298581259C,PTY226750808,Claim,MATCHED,0,see AGI-21783
P63723125048X,CLM699707836,ABContact,MATCHED,0,manual journal posted
P67868767961A,POL815508323,PolicyPeriod,FIXED_BY_SQL,6856,pence variance accepted per finance memo
P74454402668B,CLM742553732,Claim,MATCHED,0,manual journal posted
P83419536026X,PTY286092616,Invoice,MATCHED,0,manual journal posted
P48541398938X,POL471605227,Invoice,DUPE,-7364,pence variance accepted per finance memo
P40745270190A,CLM442400090,Claim,FIXED_BY_SQL,-3566,see INC-30372
P26518752811B,PTY716611710,ABContact,MATCHED,0,manual journal posted
P84592603893B,CLM959026972,PolicyPeriod,MATCHED,0,manual journal posted
P44240062212B,PTY982425405,Invoice,FIXED_BY_SQL,-4039,
P55912407268A,PTY840654351,PolicyPeriod,MATCHED,0,manual journal posted
P68692987900X,PTY354286278,PolicyPeriod,FIXED_BY_SQL,2917,see GWBC-23021
P16011447374C,PTY924995878,Claim,MATCHED,0,see GWCC-44114
P26424984491X,POL784920318,Claim,MATCHED,0,see CHG-31776
P24392187876A,CLM791766644,PolicyPeriod,WRITTEN_OFF,-138,
P18679367954C,POL683467596,Claim,MATCHED,0,pence variance accepted per finance memo
P63446091878C,CLM871797185,Invoice,MATCHED,0,manual journal posted
P72483123383B,POL168773259,PolicyPeriod,MATCHED,0,wave rolled back and re-run
P69098530598C,POL167790421,Claim,MATCHED,0,manual journal posted
P76395917584X,CLM180411466,PolicyPeriod,MATCHED,0,manual journal posted
P70997294577B,POL572782003,Claim,MATCHED,0,
P33264872816C,PTY955184974,PolicyPeriod,MATCHED,0,wave rolled back and re-run
P77393588004X,PTY649038594,Invoice,MATCHED,0,pence variance accepted per finance memo
P29192370880B,PTY487077398,ABContact,FIXED_BY_SQL,-4371,manual journal posted
P56347325371B,CLM635238844,PolicyPeriod,MATCHED,0,see GWCC-32857
P17371013853B,CLM652368866,Claim,MATCHED,0,wave rolled back and re-run
P15341151030C,POL218729328,Claim,MATCHED,0,see GWPC-21050
P72031500598B,PTY615383391,Invoice,FIXED_BY_SQL,-5654,wave rolled back and re-run
P70463509944C,PTY833723835,ABContact,MATCHED,0,manual journal posted
P35884944958B,PTY561688297,Claim,MATCHED,0,manual journal posted
P71778857665C,POL503041167,Invoice,MATCHED,0,wave rolled back and re-run
P79960978387B,PTY269350245,Invoice,MATCHED,0,wave rolled back and re-run
P46327523305B,CLM569020353,PolicyPeriod,ORPHAN,-80,
P94231411902X,POL659451343,Claim,MATCHED,0,wave rolled back and re-run
P77889861715C,CLM675151742,Claim,FIXED_BY_SQL,2855,
P88410275725B,POL177423995,Claim,MATCHED,0,see GWBC-33878
P55522785709A,POL212114272,ABContact,MATCHED,0,pence variance accepted per finance memo
P53931021030C,CLM346314533,ABContact,ORPHAN,-6949,
P22736915448C,POL312119543,ABContact,MATCHED,0,manual journal posted
P91976067407A,PTY707815443,Invoice,MATCHED,0,see PRB-46389
P67798908929C,PTY438443223,PolicyPeriod,FIXED_BY_SQL,5776,pence variance accepted per finance memo
P60664212849X,PTY632140892,Claim,MATCHED,0,pence variance accepted per finance memo
P16686166376A,PTY842205325,Invoice,MATCHED,0,see INC-25571
P93241067237X,CLM212416210,Claim,DUPE,2997,wave rolled back and re-run
P52288635727B,POL762381135,ABContact,FIXED_BY_SQL,-6597,manual journal posted
P80589927587X,PTY114588858,PolicyPeriod,MATCHED,0,wave rolled back and re-run
P95641096673X,POL216647181,PolicyPeriod,FIXED_BY_SQL,-4686,
P72674802524C,CLM816036958,PolicyPeriod,MATCHED,0,wave rolled back and re-run
P38559543503C,CLM540749944,Invoice,FIXED_BY_SQL,-6141,manual journal posted
P71925843050B,CLM933969933,Invoice,ORPHAN,7516,see AGI-26844
P88994777038C,CLM814669471,Claim,MATCHED,0,pence variance accepted per finance memo
P38195754390A,CLM702030677,Claim,MATCHED,0,manual journal posted
P92875038864C,POL747226221,Claim,MATCHED,0,
P25777003532C,POL358963524,PolicyPeriod,MATCHED,0,see INC-3827
P70081203567A,PTY660714053,Claim,FIXED_BY_SQL,7804,
P23282706210C,PTY313358073,PolicyPeriod,MATCHED,0,wave rolled back and re-run
P23166008215A,POL748477205,Invoice,MATCHED,0,see INC-4529
P17042579443A,POL264855472,Invoice,MATCHED,0,pence variance accepted per finance memo
P69332281712X,CLM598765587,ABContact,MATCHED,0,pence variance accepted per finance memo
P93471130538A,PTY550345571,Invoice,MATCHED,0,pence variance accepted per finance memo
P57292212691A,POL955465699,Claim,MATCHED,0,
P85116484679A,POL362251213,PolicyPeriod,ORPHAN,-929,wave rolled back and re-run
P61013346305X,PTY858453606,Claim,ORPHAN,1723,pence variance accepted per finance memo
P81965561276C,PTY525661471,Claim,MATCHED,0,
P58666331474A,PTY852517297,ABContact,MATCHED,0,pence variance accepted per finance memo
P12268701591C,PTY873991727,Invoice,MATCHED,0,pence variance accepted per finance memo
P92127947437X,POL298889197,Claim,DUPE,-7232,wave rolled back and re-run
P54947503578B,PTY214625806,Claim,FIXED_BY_SQL,-9537,see INC-46405
P85245717869X,CLM657307939,Invoice,MATCHED,0,manual journal posted
P19021773580B,CLM350710818,ABContact,MATCHED,0,wave rolled back and re-run
P18635020310C,PTY766350537,ABContact,MATCHED,0,see DEF-36618
P19353647861B,CLM759741020,Invoice,MATCHED,0,pence variance accepted per finance memo
P83841244704A,POL207717058,PolicyPeriod,MATCHED,0,manual journal posted
P45023276566A,CLM320455175,Invoice,MATCHED,0,
P53195095033X,POL943239033,ABContact,MATCHED,0,pence variance accepted per finance memo
